['45729', 'qemu-system-x86_64', 'sleeping', '1668324148.01']
['45729', 'NONE', '0.0.0.0', '39955', '', '', '']
['45729', 'NONE', '0.0.0.0', '46478', '', '', '']
['45729', 'NONE', '0.0.0.0', '40054', '', '', '']
['45729', 'NONE', '0.0.0.0', '47479', '', '', '']
['45729', 'NONE', '0.0.0.0', '35543', '', '', '']
['45729', 'NONE', '0.0.0.0', '55332', '', '', '']
['45729', 'NONE', '0.0.0.0', '40958', '', '', '']
['45729', 'NONE', '0.0.0.0', '49186', '', '', '']
['45729', 'NONE', '0.0.0.0', '55297', '', '', '']
['45729', 'NONE', '0.0.0.0', '40801', '', '', '']
['45729', 'NONE', '0.0.0.0', '44162', '', '', '']
['45729', 'NONE', '0.0.0.0', '45111', '', '', '']
['45729', 'NONE', '0.0.0.0', '60097', '', '', '']
['45729', 'NONE', '::', '58731', '', '', '']
['45729', 'NONE', '0.0.0.0', '34332', '', '', '']
['45729', 'NONE', '0.0.0.0', '35568', '', '', '']
['45729', 'NONE', '0.0.0.0', '33732', '', '', '']
['45729', 'NONE', '0.0.0.0', '52230', '', '', '']
['45729', 'NONE', '0.0.0.0', '34779', '', '', '']
['45729', 'NONE', '0.0.0.0', '43660', '', '', '']
['45729', 'NONE', '0.0.0.0', '57632', '', '', '']
['45729', 'NONE', '0.0.0.0', '57237', '', '', '']
['45729', 'NONE', '0.0.0.0', '32970', '', '', '']
['45729', 'NONE', '0.0.0.0', '35706', '', '', '']
['45729', 'NONE', '0.0.0.0', '45899', '', '', '']
